project_key,project_name,project_type,summary,description,issue_type,reporter,priority,duedate
JIUOB,caqEnBfgpBC2pNy,software,BJiVnCGKNsPKlCptUEDM,yJeddPRVR07fBKBJxxbBmA2FGZg2DOEyGhpj1CNXGUSp5JfODe,Task,User50,Low,2023-6-17
JIUOB,caqEnBfgpBC2pNy,software,CcYTJZnXPQrJo5tm7JVj,isX8EI7esQex5mEajXLuZ6Tw6vB51Ujfrhbow5ovRDffQODVmi,Bug,User19,Medium,2023-10-27
JIUOB,caqEnBfgpBC2pNy,software,LQDyAn16I4Q1mxHC86nv,BppyRsCvvhgec 3F2gDRqkrtLaRsrivsMZ7wWNuaymXt VkXHk,Bug,User80,Medium,2023-1-8
JIUOB,caqEnBfgpBC2pNy,software,KRW3AZIfmOvGlKR8sDUb,HLx7oty20okC9C1s nyWNGELE SrPki5P5df1y5PPUsP9na0Pf,Bug,User37,Low,2023-4-4
JIUOB,caqEnBfgpBC2pNy,software,e NPGCel0fK1tbSrEsmY,hYMCanVRAbbtaKuLMVqgAy sQs5hmGfWzZ4c8emotyOY2foeNG,Story,User81,High,2023-5-10
JIUOB,caqEnBfgpBC2pNy,software,nesZCH10Xkuu5MF0r2gN,KIOODqcJ5fOrfEDbgWqs4lsp6wPl6rN6shZVaj9Hqt8rCIPPH2,Epic,User1,Medium,2023-9-26
JIUOB,caqEnBfgpBC2pNy,software,P2G4Y0EBTAb3Il f9OG5,LNxYagZHWToqFwy8HBEZlzQoG4pntz7IP7MjcTs9MhIvcHQfKD,Story,User64,Low,2023-8-15
JIUOB,caqEnBfgpBC2pNy,software,y5zE1KaVEAi8iPX FxDD,krVpNlzuXqFix sQqrZVzkH8fvfGhueqId51DWKo5miRoLZMSv,Epic,User68,High,2023-12-11
JIUOB,caqEnBfgpBC2pNy,software,kg5RAc4QXKOODOetFCZC,xmyTvZqmQwefBa3gUOfpdp0aEFGdTlroPuB08FqA2PBXsR1wSr,Task,User55,Medium,2023-4-13
JIUOB,caqEnBfgpBC2pNy,software,MISiCVLJDZBFU6OZep8f,Ea9CM18QBdRGOs5IZFg44TLsHGJYWlxLQSWwJCDPQmxSiInTQS,Story,User9,Medium,2023-7-27
JIUOB,caqEnBfgpBC2pNy,software,XzRlErCCcdMXx5pMY8Vf,NelRxeNjyt 4dSyagZ5WPPQpvQLnHGwTWKQtFW4SSF28iCuwwt,Bug,User100,Medium,2023-8-14
JIUOB,caqEnBfgpBC2pNy,software,jdBV6e31s 21ZVefopTw,uNowngvxaO6toIqU8dG7YOkMbscpnfzAFfxtIe24mtiMm9G0XX,Epic,User20,High,2023-8-5
